year,id,age,childs,sibs,degree,race,sex,region,income16,relig,marital,padeg,madeg,partyid,polviews,happy,partners,grass,zodiac,pres12,wtssall,income_rc,agegrp,ageq,siblings,kids,religion,bigregion,partners_rc,obama
2016,1,47,3,2,Bachelor,White,Male,New England,26,None,Married,Graduate,High School,Independent,4,Pretty Happy,NA,NA,Aquarius,3,0.956993511490439,Gt $170000,Age 45-55,Age 34-49,2,3,None,Northeast,NA,0
2016,2,61,0,3,High School,White,Male,New England,19,None,Never Married,Lt High School,High School,"Ind,near Dem",2,Pretty Happy,1 Partner,Legal,Scorpio,1,0.4784967557452195,Gt $50000,Age 55-65,Age 49-62,3,0,None,Northeast,1,1
2016,3,72,2,3,Bachelor,White,Male,New England,21,Catholic,Married,High School,Lt High School,Not Str Republican,6,Very Happy,1 Partner,Not Legal,Pisces,2,0.956993511490439,Gt $75000,Age 65+,Age 62+,3,2,Catholic,Northeast,1,0
2016,4,43,4,3,High School,White,Female,New England,26,Catholic,Married,NA,High School,Not Str Republican,4,Pretty Happy,NA,NA,Cancer,2,1.913987022980878,Gt $170000,Age 35-45,Age 34-49,3,4+,Catholic,Northeast,NA,0
2016,5,55,2,2,Graduate,White,Female,New England,26,None,Married,Bachelor,High School,Not Str Democrat,3,Very Happy,1 Partner,Legal,Scorpio,1,1.4354902672356584,Gt $170000,Age 45-55,Age 49-62,2,2,None,Northeast,1,1
2016,6,53,2,2,Junior College,White,Female,New England,20,None,Married,NA,High School,Not Str Democrat,3,Very Happy,1 Partner,Legal,Scorpio,1,0.956993511490439,Gt $60000,Age 45-55,Age 49-62,2,2,None,Northeast,1,1
2016,7,50,2,2,High School,White,Male,New England,26,None,Married,High School,High School,Not Str Republican,3,Pretty Happy,NA,NA,Capricorn,NA,1.4354902672356584,Gt $170000,Age 45-55,Age 49-62,2,2,None,Northeast,NA,NA
2016,8,23,3,6,High School,Other,Female,Middle Atlantic,16,Catholic,Married,Lt High School,Lt High School,"Ind,near Dem",5,Very Happy,1 Partner,Not Legal,Aquarius,NA,0.956993511490439,Gt $30000,Age 18-35,Age 18-34,6+,3,Catholic,Northeast,1,NA
2016,9,45,3,5,High School,Black,Male,Middle Atlantic,20,Protestant,Married,Lt High School,Lt High School,Strong Democrat,NA,Pretty Happy,NA,NA,NA,NA,0.956993511490439,Gt $60000,Age 35-45,Age 34-49,5,3,Protestant,Northeast,NA,NA
2016,10,71,4,1,Junior College,White,Male,Middle Atlantic,20,None,Divorced,High School,High School,Strong Republican,6,Pretty Happy,3 Partners,Not Legal,Sagittarius,2,0.956993511490439,Gt $60000,Age 65+,Age 62+,1,4+,None,Northeast,3,0
2016,11,33,5,4,High School,Black,Female,Middle Atlantic,1,Protestant,Never Married,High School,Lt High School,Strong Democrat,NA,NA,1 Partner,Legal,Leo,NA,0.4784967557452195,Gt $0,Age 18-35,Age 18-34,4,4+,Protestant,Northeast,1,NA
2016,12,86,4,4,High School,White,Female,Middle Atlantic,1,Protestant,Widowed,High School,NA,Strong Republican,5,Not Too Happy,NA,NA,Cancer,NA,0.7821816814876192,Gt $0,Age 65+,Age 62+,4,4+,Protestant,Northeast,NA,NA
2016,13,32,3,3,High School,Black,Male,Middle Atlantic,8,Catholic,Married,NA,High School,"Ind,near Dem",3,Very Happy,1 Partner,Legal,Libra,1,1.913987022980878,Gt $0,Age 18-35,Age 18-34,3,3,Catholic,Northeast,1,1
2016,14,60,5,6,High School,Black,Female,Middle Atlantic,10,Protestant,Married,High School,NA,Strong Democrat,2,Very Happy,NA,Legal,Aquarius,1,0.4784967557452195,Gt $10000,Age 55-65,Age 49-62,6+,4+,Protestant,Northeast,NA,1
2016,15,76,7,0,Lt High School,White,Male,New England,18,Catholic,Divorced,Lt High School,Lt High School,Independent,4,Pretty Happy,No Partners,Not Legal,Virgo,2,0.4784967557452195,Gt $40000,Age 65+,Age 62+,0,4+,Catholic,Northeast,0,0
