state,year,children,work,finc,ed
11,1991,0,1,18714.394273,10
12,1991,1,1,4838.5682819,9
13,1991,2,0,8178.1938326,11
14,1991,0,0,9369.5704846,11
15,1991,3,1,14706.60793,7
16,1991,1,1,21605.044053,7
21,1991,0,1,19146.872247,11
22,1991,0,1,64311.949339,11
23,1991,1,1,17676.211454,11
31,1991,2,1,12214.262115,11
32,1991,0,1,47475.947137,9
33,1991,2,1,12962.555066,10
34,1991,0,0,7070.4845815,9
35,1991,0,0,0,11
41,1991,0,0,3605.9471366,11
42,1991,1,0,6223.2048458,7
43,1991,1,0,15814.317181,10
44,1991,0,1,21211.453744,9
45,1991,0,1,13858.14978,7
46,1991,0,1,5038.8986784,10
47,1991,1,1,5185.0220264,11
51,1991,1,0,0,11
52,1991,3,0,7056.3436123,9
53,1991,2,1,23488.14978,10
54,1991,4,0,5797.7973568,11
55,1991,1,1,13845.187225,9
56,1991,1,1,15319.38326,11
57,1991,1,0,2743.3480176,11
58,1991,1,1,15114.339207,11
59,1991,0,1,16497.797357,11
61,1991,2,0,3224.1409692,7
62,1991,0,0,20992.268722,3
63,1991,2,1,11312.77533,11
64,1991,0,1,14169.251101,11
71,1991,1,1,4963.4801762,7
72,1991,0,1,4713.6563877,11
73,1991,0,0,1343.3920705,7
74,1991,0,1,3588.2709251,0
81,1991,2,0,13886.431718,9
82,1991,0,1,33409.218062,7
83,1991,1,1,4619.3832599,9
84,1991,0,1,23568.281938,0
85,1991,0,0,0,11
86,1991,0,0,10900.330396,7
87,1991,3,0,6881.938326,10
88,1991,0,1,824.88986784,11
91,1991,0,1,8390.30837,9
92,1991,3,0,8343.1718062,11
93,1991,1,0,7466.4317181,7
94,1991,0,0,31784.185022,7
95,1991,0,1,9193.9867841,3
11,1992,0,1,19459.052031,11
12,1992,1,0,0,10
13,1992,2,1,68779.340699,9
14,1992,3,1,2070.598717,7
15,1992,2,1,24463.952245,10
16,1992,0,1,36804.034212,10
21,1992,0,0,11105.730577,11
22,1992,0,0,31739.647185,7
23,1992,2,1,39471.789024,7
31,1992,1,1,11439.771917,9
32,1992,0,1,49733.264433,11
33,1992,0,1,21689.807555,11
34,1992,0,0,4475.2387741,11
35,1992,1,0,25626.233072,9
41,1992,0,1,276.8424804,11
42,1992,0,1,17852.908054,3
43,1992,2,1,4919.1019244,10
44,1992,3,1,7398.1004989,10
45,1992,1,1,33203.93799,10
46,1992,0,0,1439.1233072,0
47,1992,0,0,12953.253742,7
51,1992,0,1,17605.808981,11
52,1992,1,0,60001.603706,0
53,1992,3,0,4392.8724163,10
54,1992,1,0,0,10
55,1992,3,0,0,11
56,1992,0,1,14512.494654,11
57,1992,0,0,0,11
58,1992,0,0,15268.663578,7
59,1992,3,0,4996.8923735,11
61,1992,3,0,8236.6357805,7
62,1992,0,1,45865.477548,11
63,1992,0,0,5825.1318603,10
64,1992,2,0,1194.3121882,11
71,1992,0,1,11439.771917,10
72,1992,2,0,11563.321454,10
73,1992,0,0,3386.1724875,9
74,1992,0,1,11368.845331,11
81,1992,1,1,6489.7826087,9
82,1992,3,1,32470.64861,10
83,1992,0,1,10638.987883,10
84,1992,2,1,61636.347113,9
85,1992,1,1,3970.7448325,7
86,1992,1,1,23331.414825,11
87,1992,4,0,5147.8973628,7
88,1992,3,0,11256.735567,11
91,1992,0,1,9190.7127584,11
92,1992,0,1,28908.303635,7
93,1992,1,1,15100.498931,0
94,1992,2,1,18475.231646,11
95,1992,0,0,10295.794726,7
11,1993,0,1,12773.356401,7
12,1993,0,0,0,10
13,1993,3,0,9921.0103806,10
14,1993,3,0,5795.7716263,7
15,1993,0,1,49427.33564,10
16,1993,0,0,29610.861592,10
21,1993,0,0,7070.8858131,3
22,1993,0,1,12217.99308,11
23,1993,2,1,10309.764706,10
31,1993,4,0,10340.865052,11
32,1993,0,1,7161.9653979,11
33,1993,7,1,16665.342561,10
34,1993,0,0,5553.633218,0
35,1993,1,1,11938.089965,7
41,1993,0,1,5553.633218,0
42,1993,2,0,5810.2110727,10
43,1993,2,1,4620.6228374,11
44,1993,0,0,22140.114187,7
45,1993,2,0,3998.615917,11
46,1993,0,1,10551.903114,11
47,1993,0,1,11551.557093,7
51,1993,1,0,4993.8269896,11
52,1993,2,1,1777.1626298,0
53,1993,0,1,25546.712803,11
54,1993,0,1,26524.152249,3
55,1993,2,0,2679.0726644,9
56,1993,0,1,28101.384083,10
57,1993,1,1,5553.633218,10
58,1993,1,0,23517.415225,7
59,1993,1,0,5997.9238754,10
61,1993,1,1,16096.650519,9
62,1993,1,1,6997.5778547,11
63,1993,0,0,8441.5224913,11
64,1993,0,0,16692,11
71,1993,0,1,25803.290657,11
72,1993,0,0,5904.6228374,10
73,1993,2,0,5764.6712803,11
74,1993,2,0,5331.4878893,7
81,1993,4,0,8090.532872,9
82,1993,2,0,11548.224913,11
83,1993,0,0,15661.245675,7
84,1993,0,1,3887.5432526,11
85,1993,0,1,34563.591696,7
86,1993,3,0,6904.2768166,11
87,1993,0,1,13350.934256,11
88,1993,0,1,40488.207612,9
91,1993,0,0,5331.4878893,3
92,1993,0,1,57791.107266,11
93,1993,3,1,32455.432526,11
94,1993,0,0,2110.3806228,10
95,1993,1,1,1602.7785467,3
11,1994,1,1,6164.4129555,9
12,1994,4,0,9396.0728745,11
13,1994,1,1,2393.4210526,9
14,1994,1,0,0,7
15,1994,2,1,17111.336032,11
16,1994,0,1,12021.255061,11
21,1994,1,0,9630,7
22,1994,0,1,25377.84413,7
23,1994,3,0,7041.6396761,11
31,1994,4,0,7004.8178138,11
32,1994,2,1,8756.0222672,7
33,1994,3,0,5380.3238866,11
34,1994,0,0,5978.1376518,10
35,1994,0,1,4378.5526316,11
41,1994,1,0,0,9
42,1994,1,1,20771.862348,10
43,1994,1,0,7719.5951417,10
44,1994,2,0,1646.1538462,10
45,1994,2,0,7901.5384615,10
46,1994,0,0,16343.491903,7
47,1994,0,0,0,0
51,1994,0,1,65662.044534,9
52,1994,3,1,38289.321862,11
53,1994,2,0,6666.9230769,10
54,1994,2,1,25991.902834,10
55,1994,1,0,7576.6396761,7
56,1994,0,1,49817.813765,11
57,1994,2,1,19493.927126,11
58,1994,1,1,74163.562753,11
59,1994,5,0,5497.2874494,11
